Scientific_Name,Missing_Status,Years_Missing,Last_Record_Year,Last_Record_Date,Last_Known_Latitude,Last_Known_Longitude,Last_Known_Reserve,First_Record_Year,First_Record_Date,First_Known_Latitude,First_Known_Longitude,First_Known_Reserve,Record_Span_Years,Total_Records,GPS_Locations,All_Reserves_Found,Geographic_Range_Lat,Geographic_Range_Lon,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
Notelaea ovata,Recent,24,2001,2001-12-21,-33.97277,150.998412,Lambeth Reserve,2001,2001-12-21,-33.97277,150.998412,Lambeth Reserve,0,1,1,Lambeth Reserve,,,,,,
Plantago coronopus,Recent,24,2001,2001-12-21,-33.972962,150.996914,Not in a reserve,2001,2001-12-21,-33.972962,150.996914,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Pultenaea pedunculata,Recent,24,2001,2001-05-16,-33.876756,150.983933,Not in a reserve,1988,1988-01-01,-33.876756,150.983933,Not in a reserve,13,3,3,Not in a reserve,0.0,0.0,-33.876756,-33.876756,150.983933,150.983933
Callitriche stagnalis,Recent,21,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Eragrostis cilianensis,Recent,21,2004,2004-08-02,-33.91546,150.974229,Not in a reserve,2004,2004-08-02,-33.91546,150.974229,Not in a reserve,0,2,2,Not in a reserve,0.025996,0.020401,-33.91546,-33.889464,150.974229,150.99463
Capparis mitchellii,Recent,21,2004,2004-10-08,-33.909349,150.994229,Crest,2004,2004-10-08,-33.909349,150.994229,Crest,0,1,1,Crest,,,,,,
Spergularia rubra,Recent,21,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,2001,2001-12-21,-33.972962,150.996914,Not in a reserve,3,2,2,Not in a reserve,0.062413,0.008726,-33.972962,-33.910549,150.988188,150.996914
Sorghum leiocladum,Recent,21,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Senecio bathurstianus,Recent,21,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,1998,1998-12-21,-33.910942,150.998453,Bellevue,6,7,7,Bellevue; Louisa; Not in a reserve; Lot 5 Prescott Parade,0.068683,0.037488,-33.973341,-33.904658,150.972476,151.009964
Sherardia arvensis,Recent,21,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Vulpia bromoides,Recent,21,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Viola betonicifolia,Recent,21,2004,2004-10-08,-33.909349,150.994229,Crest,2004,2004-10-08,-33.909349,150.994229,Crest,0,1,1,Crest,,,,,,
Verbena incompta,Recent,21,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Chenopodium murale,Recent,21,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Erica lusitanica,Recent,21,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Dietes robinsoniana,Recent,21,2004,2004-10-08,-33.909349,150.994229,Crest,2004,2004-10-08,-33.909349,150.994229,Crest,0,1,1,Crest,,,,,,
Macadamia integrifolia,Recent,21,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Apium graveolens,Recent,21,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Potamogeton crispus,Recent,21,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Medicago truncatula,Recent,21,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Agrostis capillaris,Recent,21,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Polygala myrtifolia,Recent,21,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,2001,2001-12-21,-33.972761,150.998401,Lambeth Reserve,3,2,2,Not in a reserve; Lambeth Reserve,0.081639,0.043224,-33.972761,-33.891122,150.998401,151.041625
Nassella neesiana,Recent,21,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Nicotiana tabacum,Recent,21,2004,2004-10-08,-33.955749,151.038922,Davies Road,2004,2004-10-08,-33.955749,151.038922,Davies Road,0,1,1,Davies Road,,,,,,
Medicago sativa,Recent,20,2005,2005-01-04,-33.901874,151.003639,Walshaw Park,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,1,2,2,Not in a reserve; Walshaw Park,0.01241,0.009009,-33.901874,-33.889464,150.99463,151.003639
Rumex acetosella,Recent,20,2005,2005-01-04,-33.901874,151.003639,Walshaw Park,2005,2005-01-04,-33.901874,151.003639,Walshaw Park,0,1,1,Walshaw Park,,,,,,
Allocasuarina paludosa,Recent,20,2005,2005-08-28,-33.971584,150.998656,Not in a reserve,2005,2005-08-28,-33.971584,150.998656,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Corymbia eximia,Recent,19,2006,2006-06-05,-33.897071,151.029586,Not in a reserve,2006,2006-06-05,-33.897071,151.029586,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Centella cordifolia,Recent,19,2006,2006-06-05,-33.897071,151.029586,Not in a reserve,2006,2006-06-05,-33.897071,151.029586,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Hovea purpurea,Recent,19,2006,2006-11-08,-33.949972,150.977015,Deepwater,2006,2006-11-08,-33.949972,150.977015,Deepwater,0,1,1,Deepwater,,,,,,
Anthosachne kingiana subsp. multiflora,Recent,18,2007,2007-11-23,-33.89269,150.97436,Lansdowne,2006,2006-11-28,-33.895029,150.978671,Lansdowne,1,4,4,Lansdowne,0.004604,0.005396,-33.895029,-33.890425,150.973275,150.978671
Eucalyptus sieberi,Recent,18,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Erigeron karvinskianus,Recent,18,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Polygonum arenastrum,Recent,18,2007,2007-07-03,-33.910303,150.988021,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,3,2,2,Not in a reserve,0.000246,0.000167,-33.910549,-33.910303,150.988021,150.988188
Acacia elongata,Recent,18,2007,2007-12-07,-33.971972,150.997378,Lambeth Reserve,2007,2007-12-07,-33.971972,150.997378,Lambeth Reserve,0,2,2,Lambeth Reserve; Not in a reserve,0.000892,0.001108,-33.971972,-33.97108,150.99627,150.997378
Rhodamnia rubescens,Recent,18,2007,2007-02-02,-33.909146,150.996486,Crest,1996,1996-06-03,-33.974393,151.005084,Not in a reserve,11,2,2,Crest; Not in a reserve,0.065247,0.008598,-33.974393,-33.909146,150.996486,151.005084
Sporobolus fertilis,Recent,18,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Eucalyptus beyeriana,Recent,18,2007,2007-07-28,-33.956769,150.992636,Not in a reserve,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,3,2,2,Not in a reserve,0.067305,0.001994,-33.956769,-33.889464,150.992636,150.99463
Mirbelia rubiifolia,Recent,18,2007,2007-12-18,-33.89269,150.97436,Lansdowne,2007,2007-12-18,-33.89269,150.97436,Lansdowne,0,2,2,Lansdowne,0.002265,0.001085,-33.89269,-33.890425,150.973275,150.97436
Lepidosperma urophorum,Recent,18,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,0,2,2,Not in a reserve,0.0,0.0,-33.929191,-33.929191,151.128771,151.128771
Agave americana,Recent,18,2007,2007-07-03,-33.910303,150.988021,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,3,3,3,Not in a reserve,0.013478,0.041565,-33.910549,-33.897071,150.988021,151.029586
